id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,CO_abs,CO2_abs,HC_abs,PMx_abs,NOx_abs,fuel_abs,electricity_abs
V6ToEastH6.122,1464.0,468_0,5.1,0.0,0.0,1595.0,522_1,56.88,13.24,131.0,1507.13,2.0,1,0.0,19.24,0,tripinfo_V6ToEastH6.122 emissions_V6ToEastH6.122,gasoline_euro4,0.98,5022.630168,386545.970539,31.437906,6.119413,151.576976,123290.702823,0.0
EastSilburyToEastAvebury.19,704.0,317_0,5.1,0.0,0.0,1598.0,213_0,19.13,13.95,894.0,2992.21,557.0,16,0.0,679.88,0,tripinfo_EastSilburyToEastAvebury.19 emissions_EastSilburyToEastAvebury.19,gasoline_euro4,1.02,111847.981835,2417878.556928,564.926025,53.598927,1059.348903,771227.050868,0.0
SouthEvansGateToSilbury.57,1026.0,526_0,5.1,0.0,0.0,1598.0,215_1,19.43,13.55,572.0,2705.1,281.0,9,0.0,374.07,0,tripinfo_SouthEvansGateToSilbury.57 emissions_SouthEvansGateToSilbury.57,gasoline_euro4,1.01,61345.866135,1564585.850576,314.961095,32.31649,668.135714,499049.358077,0.0
EastSilburyToEastAvebury.18,688.0,317_0,4.6,0.0,0.0,1599.0,213_1,19.13,11.79,911.0,2987.58,538.0,17,0.0,668.26,0,tripinfo_EastSilburyToEastAvebury.18 emissions_EastSilburyToEastAvebury.18,electric,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SouthEvansGateToSilbury.59,1062.0,526_0,5.1,0.0,0.0,1600.0,215_1,19.43,15.63,538.0,2705.13,249.0,9,0.0,372.3,0,tripinfo_SouthEvansGateToSilbury.59 emissions_SouthEvansGateToSilbury.59,gasoline_euro4,1.21,57182.657734,1517613.157198,295.372563,32.060891,652.892862,484064.375563,0.0
EastSilburyToEastAvebury.20,720.0,317_0,5.1,0.0,0.0,1601.0,213_1,19.13,12.19,881.0,2987.08,534.0,15,0.0,651.1,0,tripinfo_EastSilburyToEastAvebury.20 emissions_EastSilburyToEastAvebury.20,gasoline_euro4,0.95,107406.186624,2346003.154359,543.519801,51.407196,1025.308427,748301.041877,0.0
SouthEvansGateToSilbury.56,1008.0,526_0,4.6,0.0,0.0,1602.0,215_1,19.43,14.58,594.0,2705.65,287.0,10,0.0,406.18,0,tripinfo_SouthEvansGateToSilbury.56 emissions_SouthEvansGateToSilbury.56,electric,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WestA509ToEastH6.20,723.0,773_0,5.1,0.0,3.0,1604.0,522_0,56.88,11.04,881.0,3657.64,426.0,13,0.0,558.87,0,tripinfo_WestA509ToEastH6.20 emissions_WestA509ToEastH6.20,gasoline_euro4,0.82,92938.402196,2179888.57829,473.870836,45.214116,937.488816,695314.235621,0.0
EastSilburyToEastAvebury.22,752.0,317_0,5.1,0.0,0.0,1604.0,213_1,19.13,16.32,852.0,2992.19,536.0,17,0.0,667.72,0,tripinfo_EastSilburyToEastAvebury.22 emissions_EastSilburyToEastAvebury.22,gasoline_euro4,1.19,108865.793778,2415868.551041,551.216449,53.890588,1057.747663,770583.751236,0.0
SouthEvansGateToSilbury.58,1044.0,526_0,4.6,0.0,0.0,1604.0,215_1,19.43,13.84,560.0,2705.68,259.0,11,0.0,369.42,0,tripinfo_SouthEvansGateToSilbury.58 emissions_SouthEvansGateToSilbury.58,electric,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V6ToEastH6.123,1476.0,468_0,4.6,0.0,0.0,1604.0,522_1,56.88,12.78,128.0,1507.63,0.0,0,0.0,15.73,0,tripinfo_V6ToEastH6.123 emissions_V6ToEastH6.123,electric,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SouthEvansGateToSilbury.61,1098.0,526_0,5.1,0.0,0.0,1606.0,215_1,19.43,12.92,508.0,2705.1,224.0,9,0.0,299.75,0,tripinfo_SouthEvansGateToSilbury.61 emissions_SouthEvansGateToSilbury.61,gasoline_euro4,0.96,51262.763152,1406873.74897,265.787556,28.602022,599.721766,448742.570126,0.0
WestA509ToEastH6.24,867.0,773_0,4.6,0.0,3.0,1607.0,522_1,56.88,12.07,740.0,3658.14,300.0,10,0.0,438.85,0,tripinfo_WestA509ToEastH6.24 emissions_WestA509ToEastH6.24,electric,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EastSilburyToEastAvebury.21,736.0,317_0,4.6,0.0,0.0,1611.0,213_1,19.13,13.74,875.0,2987.59,558.0,15,0.0,664.39,0,tripinfo_EastSilburyToEastAvebury.21 emissions_EastSilburyToEastAvebury.21,electric,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EastA509ToH6.50,900.0,770_0,5.1,0.0,0.0,1611.0,522_1,56.88,12.41,711.0,3285.3,383.0,8,0.0,443.62,0,tripinfo_EastA509ToH6.50 emissions_EastA509ToH6.50,gasoline_euro4,0.89,76597.998277,1885878.285583,392.349822,38.993022,807.826387,601532.300137,0.0
EastA509ToH6.53,954.0,770_0,5.1,0.0,0.0,1612.0,522_1,56.88,14.29,658.0,3286.86,354.0,13,0.0,428.18,0,tripinfo_EastA509ToH6.53 emissions_EastA509ToH6.53,gasoline_euro4,1.04,71727.325673,1827829.951605,368.119385,37.943878,780.767544,583015.091971,0.0
EastAveburyToWestA509.92,982.0,483_0,5.1,0.0,0.0,1612.0,774_2,29.75,17.11,630.0,2209.75,414.0,12,0.0,500.87,0,tripinfo_EastAveburyToWestA509.92 emissions_EastAveburyToWestA509.92,gasoline_euro4,1.24,82442.320108,1844035.793471,417.913686,41.410295,808.264481,588186.986207,0.0
V6ToEastH6.124,1488.0,468_0,4.6,0.0,0.0,1614.0,522_1,56.88,13.41,126.0,1507.63,0.0,0,0.0,22.66,0,tripinfo_V6ToEastH6.124 emissions_V6ToEastH6.124,electric,1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
